,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Effective To Date,mm,dd
3899,Oregon,0,Basic,Bachelor,Employed,0,Urban,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-28,1,28
3900,Oregon,0,Extended,College,Employed,1,Rural,Married,Personal Auto,3,4,Branch,Four-Door Car,Medsize,2011-02-08,2,8
3901,Arizona,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,2,3,Branch,Two-Door Car,Medsize,2011-02-13,2,13
3902,Oregon,0,Basic,High School or Below,Employed,0,Suburban,Married,Special Auto,1,4,Call Center,SUV,Medsize,2011-01-10,1,10
3903,Oregon,0,Basic,College,other,0,Urban,Married,Personal Auto,2,1,Agent,SUV,Medsize,2011-02-11,2,11
3904,Arizona,0,Extended,College,Unemployed,1,Suburban,Single,Personal Auto,3,1,Branch,Two-Door Car,Medsize,2011-02-28,2,28
3905,Oregon,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,3,4,Branch,Two-Door Car,Small,2011-02-07,2,7
3906,Oregon,0,Basic,College,Unemployed,1,Suburban,Married,Corporate Auto,2,4,Agent,Four-Door Car,Small,2011-01-09,1,9
3907,Arizona,0,Basic,College,Employed,1,Rural,Married,Corporate Auto,3,4,Agent,Four-Door Car,Medsize,2011-01-13,1,13
3908,California,0,Basic,High School or Below,Unemployed,0,Suburban,Single,Personal Auto,3,1,Call Center,SUV,Medsize,2011-02-02,2,2
3909,California,0,Extended,High School or Below,Employed,1,Urban,Married,Personal Auto,3,4,Branch,Luxury,Medsize,2011-01-18,1,18
3910,California,0,Extended,College,Employed,1,Rural,Divorced,Personal Auto,2,3,Agent,Sports Car,Small,2011-01-28,1,28
3911,Arizona,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,2,1,Call Center,Two-Door Car,Large,2011-01-16,1,16
3912,Arizona,1,Basic,College,other,1,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Large,2011-01-24,1,24
3913,Oregon,1,Extended,Bachelor,other,1,Suburban,Married,Personal Auto,1,2,Agent,SUV,Small,2011-01-10,1,10
3914,California,0,Basic,College,Employed,0,Rural,Divorced,Personal Auto,3,2,Web,SUV,Small,2011-01-20,1,20
3915,Washington,0,Extended,High School or Below,Employed,1,Suburban,Single,Personal Auto,3,1,Agent,Sports Car,Large,2011-02-10,2,10
3916,California,0,Basic,High School or Below,Employed,0,Rural,Married,Corporate Auto,3,4,Agent,Four-Door Car,Medsize,2011-02-07,2,7
3917,California,0,Basic,Master,Employed,0,Suburban,Married,Personal Auto,2,3,Call Center,Four-Door Car,Small,2011-02-11,2,11
3918,California,0,Premium,College,Employed,1,Rural,Divorced,Personal Auto,1,2,Call Center,Sports Car,Medsize,2011-02-15,2,15
3919,California,0,Basic,College,Employed,0,Urban,Divorced,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-25,1,25
3920,Nevada,0,Basic,Bachelor,Employed,0,Suburban,Divorced,Personal Auto,1,1,Agent,Four-Door Car,Small,2011-02-27,2,27
3921,Oregon,1,Basic,Doctor,Employed,1,Urban,Married,Corporate Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-22,2,22
3922,Oregon,0,Extended,Bachelor,Employed,1,Rural,Married,Corporate Auto,2,2,Branch,Two-Door Car,Medsize,2011-01-05,1,5
3923,Oregon,0,Basic,College,Employed,0,Rural,Married,Personal Auto,3,3,Agent,Luxury,Small,2011-01-12,1,12
3924,California,0,Basic,High School or Below,other,0,Suburban,Married,Personal Auto,2,1,Call Center,SUV,Medsize,2011-01-27,1,27
3925,Oregon,0,Basic,College,Unemployed,1,Suburban,Married,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-02-15,2,15
3926,Oregon,0,Basic,Bachelor,other,1,Suburban,Divorced,Corporate Auto,3,1,Branch,SUV,Medsize,2011-02-14,2,14
3927,California,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,3,4,Call Center,SUV,Medsize,2011-01-26,1,26
3928,Oregon,0,Basic,Bachelor,Unemployed,0,Suburban,Divorced,Personal Auto,2,4,Agent,Four-Door Car,Medsize,2011-02-25,2,25
3929,California,0,Premium,High School or Below,Employed,0,Suburban,Married,Corporate Auto,3,1,Branch,Four-Door Car,Small,2011-01-15,1,15
3930,Arizona,1,Extended,College,other,0,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-25,1,25
3931,Arizona,0,Basic,College,Employed,0,Suburban,Married,Personal Auto,3,1,Agent,Two-Door Car,Small,2011-01-13,1,13
3932,Oregon,0,Basic,Bachelor,Unemployed,1,Rural,Divorced,Personal Auto,3,1,Agent,SUV,Medsize,2011-02-03,2,3
3933,Arizona,0,Premium,Bachelor,Employed,1,Urban,Divorced,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-02-03,2,3
3934,Washington,0,Basic,High School or Below,Employed,0,Rural,Married,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-18,2,18
3935,Oregon,0,Basic,High School or Below,Unemployed,1,Rural,Married,Personal Auto,2,2,Web,Four-Door Car,Large,2011-02-05,2,5
3936,Oregon,0,Premium,High School or Below,Employed,0,Suburban,Married,Corporate Auto,1,4,Agent,Four-Door Car,Medsize,2011-02-21,2,21
3937,Oregon,0,Basic,Master,Employed,1,Suburban,Married,Personal Auto,3,2,Agent,Sports Car,Medsize,2011-01-08,1,8
3938,Oregon,0,Extended,Bachelor,Unemployed,1,Suburban,Married,Personal Auto,3,3,Call Center,Four-Door Car,Medsize,2011-02-17,2,17
3939,California,0,Basic,Bachelor,other,0,Suburban,Married,Personal Auto,2,2,Call Center,Four-Door Car,Medsize,2011-01-27,1,27
3940,Arizona,0,Extended,High School or Below,other,1,Suburban,Divorced,Special Auto,1,3,Agent,Four-Door Car,Medsize,2011-02-21,2,21
3941,Oregon,1,Basic,Doctor,Employed,0,Rural,Divorced,Personal Auto,2,1,Agent,Four-Door Car,Large,2011-01-29,1,29
3942,California,0,Extended,Bachelor,Employed,1,Suburban,Divorced,Corporate Auto,3,4,Call Center,Four-Door Car,Small,2011-02-21,2,21
3943,Arizona,1,Basic,College,Employed,0,Rural,Married,Personal Auto,2,1,Branch,Four-Door Car,Medsize,2011-01-28,1,28
3944,Arizona,1,Basic,College,Unemployed,0,Suburban,Married,Corporate Auto,3,1,Branch,SUV,Medsize,2011-01-30,1,30
3945,Washington,1,Extended,High School or Below,Employed,0,Suburban,Married,Corporate Auto,2,2,Agent,Two-Door Car,Medsize,2011-02-13,2,13
3946,Oregon,0,Extended,Master,Employed,0,Rural,Married,Corporate Auto,3,3,Agent,Four-Door Car,Medsize,2011-02-18,2,18
3947,Washington,0,Extended,Master,Employed,0,Urban,Divorced,Personal Auto,2,3,Agent,Two-Door Car,Medsize,2011-01-08,1,8
3948,Arizona,0,Extended,Bachelor,Employed,0,Suburban,Married,Personal Auto,3,4,Call Center,Four-Door Car,Small,2011-02-01,2,1
3949,California,0,Basic,High School or Below,Employed,1,Rural,Single,Personal Auto,1,3,Web,Four-Door Car,Medsize,2011-02-14,2,14
3950,California,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,3,3,Agent,Sports Car,Medsize,2011-01-04,1,4
3951,California,0,Basic,Bachelor,Unemployed,1,Suburban,Single,Special Auto,3,2,Web,Four-Door Car,Medsize,2011-01-21,1,21
3952,Washington,0,Extended,College,Employed,0,Suburban,Divorced,Corporate Auto,1,2,Branch,Four-Door Car,Medsize,2011-01-07,1,7
3953,California,0,Basic,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,2,1,Web,Four-Door Car,Medsize,2011-01-20,1,20
3954,California,0,Premium,Bachelor,Employed,0,Suburban,Divorced,Personal Auto,3,4,Agent,Two-Door Car,Small,2011-01-06,1,6
3955,California,0,Basic,Master,Employed,0,Urban,Married,Personal Auto,1,2,Call Center,SUV,Medsize,2011-01-09,1,9
3956,California,0,Extended,Doctor,Unemployed,1,Suburban,Divorced,Personal Auto,2,3,Web,SUV,Medsize,2011-01-13,1,13
3957,Oregon,0,Extended,Bachelor,Employed,1,Urban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Medsize,2011-02-02,2,2
3958,Arizona,0,Extended,Master,Employed,1,Rural,Married,Personal Auto,3,2,Agent,SUV,Medsize,2011-02-27,2,27
3959,Oregon,0,Extended,College,Unemployed,1,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-27,1,27
3960,California,0,Basic,Bachelor,Employed,0,Suburban,Married,Personal Auto,3,2,Agent,Four-Door Car,Small,2011-02-04,2,4
3961,Oregon,1,Basic,High School or Below,other,1,Suburban,Married,Personal Auto,2,2,Agent,SUV,Small,2011-02-23,2,23
3962,California,0,Basic,High School or Below,Employed,1,Rural,Divorced,Personal Auto,3,3,Call Center,Four-Door Car,Medsize,2011-01-08,1,8
3963,Arizona,0,Basic,Bachelor,Employed,1,Urban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-30,1,30
3964,Arizona,0,Extended,Master,Employed,0,Suburban,Married,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-01-30,1,30
3965,Arizona,0,Basic,Master,Employed,0,Rural,Married,Special Auto,1,2,Branch,Four-Door Car,Medsize,2011-02-03,2,3
3966,Oregon,1,Extended,High School or Below,other,1,Suburban,Married,Personal Auto,3,2,Agent,Four-Door Car,Large,2011-01-20,1,20
3967,Oregon,1,Basic,Bachelor,other,1,Suburban,Divorced,Personal Auto,2,1,Web,Four-Door Car,Medsize,2011-01-11,1,11
3968,Nevada,1,Premium,High School or Below,Employed,1,Suburban,Married,Personal Auto,1,2,Call Center,Two-Door Car,Small,2011-02-14,2,14
3969,California,1,Extended,High School or Below,Employed,0,Suburban,Married,Personal Auto,2,2,Call Center,Two-Door Car,Large,2011-01-07,1,7
3970,Oregon,0,Basic,College,Employed,0,Suburban,Married,Personal Auto,3,1,Agent,Two-Door Car,Small,2011-01-13,1,13
3971,California,0,Basic,College,Employed,1,Rural,Married,Personal Auto,1,1,Web,Two-Door Car,Medsize,2011-02-27,2,27
3972,Oregon,0,Basic,Master,Employed,1,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Small,2011-02-04,2,4
3973,Arizona,1,Basic,Master,Employed,0,Rural,Divorced,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-01-31,1,31
3974,Arizona,0,Basic,High School or Below,other,1,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small,2011-01-27,1,27
3975,Oregon,0,Basic,Bachelor,Employed,1,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-08,2,8
3976,California,0,Basic,Bachelor,Employed,0,Rural,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-01-18,1,18
3977,California,0,Basic,College,Employed,1,Suburban,Single,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-06,2,6
3978,Oregon,0,Basic,Bachelor,Employed,0,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Large,2011-02-11,2,11
3979,Arizona,0,Basic,Bachelor,Employed,0,Suburban,Single,Personal Auto,1,2,Branch,Four-Door Car,Medsize,2011-01-05,1,5
3980,Washington,0,Extended,Doctor,Employed,1,Suburban,Married,Personal Auto,3,1,Agent,SUV,Large,2011-02-25,2,25
3981,Oregon,0,Extended,College,Unemployed,1,Rural,Married,Personal Auto,2,2,Branch,SUV,Medsize,2011-01-22,1,22
3982,Arizona,0,Basic,High School or Below,Employed,1,Rural,Married,Personal Auto,2,3,Branch,SUV,Medsize,2011-02-16,2,16
3983,Oregon,1,Basic,Bachelor,Employed,0,Suburban,Married,Personal Auto,1,2,Agent,Two-Door Car,Medsize,2011-01-03,1,3
3984,Oregon,0,Extended,Bachelor,Employed,1,Suburban,Married,Personal Auto,2,1,Agent,SUV,Small,2011-01-15,1,15
3985,Arizona,0,Premium,High School or Below,Employed,1,Suburban,Married,Personal Auto,3,1,Call Center,SUV,Medsize,2011-01-13,1,13
3986,Arizona,1,Extended,High School or Below,Employed,1,Suburban,Married,Personal Auto,3,1,Branch,SUV,Medsize,2011-01-27,1,27
3987,California,0,Extended,High School or Below,Unemployed,1,Suburban,Divorced,Personal Auto,2,1,Branch,SUV,Small,2011-01-08,1,8
3988,Washington,0,Extended,College,Unemployed,1,Rural,Married,Personal Auto,2,2,Web,Two-Door Car,Medsize,2011-01-10,1,10
3989,Nevada,0,Extended,High School or Below,Employed,0,Urban,Single,Personal Auto,3,2,Web,Two-Door Car,Large,2011-01-10,1,10
3990,Oregon,0,Basic,Bachelor,Unemployed,0,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-01-06,1,6
3991,Arizona,0,Basic,College,Employed,0,Suburban,Divorced,Corporate Auto,2,2,Agent,Four-Door Car,Medsize,2011-01-07,1,7
3992,Arizona,0,Basic,College,Unemployed,0,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Small,2011-01-20,1,20
3993,Nevada,0,Extended,Bachelor,other,1,Rural,Married,Corporate Auto,1,2,Agent,Four-Door Car,Large,2011-01-01,1,1
3994,California,0,Extended,Master,Employed,0,Rural,Married,Personal Auto,3,2,Web,Two-Door Car,Medsize,2011-01-29,1,29
3995,Oregon,1,Extended,College,Employed,1,Suburban,Married,Personal Auto,3,2,Agent,Two-Door Car,Small,2011-01-28,1,28
3996,Oregon,0,Extended,High School or Below,Employed,1,Suburban,Divorced,Personal Auto,3,1,Branch,Four-Door Car,Small,2011-01-06,1,6
3997,Nevada,0,Basic,College,Employed,0,Urban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-02-18,2,18
3998,Oregon,0,Extended,Bachelor,Employed,0,Rural,Single,Corporate Auto,2,4,Agent,Two-Door Car,Medsize,2011-01-14,1,14
3999,Oregon,1,Basic,Master,other,1,Suburban,Divorced,Personal Auto,2,1,Agent,Four-Door Car,Small,2011-01-28,1,28
4000,California,0,Extended,College,Employed,1,Rural,Married,Personal Auto,1,4,Call Center,Four-Door Car,Medsize,2011-02-24,2,24
4001,California,0,Extended,Bachelor,Employed,1,Rural,Divorced,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-01-27,1,27
4002,Oregon,0,Basic,College,other,0,Urban,Married,Special Auto,2,1,Call Center,Four-Door Car,Medsize,2011-01-14,1,14
4003,California,0,Extended,College,other,1,Urban,Divorced,Corporate Auto,3,1,Agent,Two-Door Car,Medsize,2011-01-29,1,29
4004,California,0,Extended,College,Employed,0,Urban,Single,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-04,2,4
4005,California,0,Basic,High School or Below,Employed,0,Suburban,Married,Corporate Auto,3,3,Agent,Four-Door Car,Medsize,2011-02-22,2,22
4006,Washington,0,Premium,Bachelor,other,1,Suburban,Single,Corporate Auto,3,1,Web,Two-Door Car,Medsize,2011-01-20,1,20
4007,California,1,Basic,High School or Below,other,0,Suburban,Single,Personal Auto,2,2,Call Center,Four-Door Car,Medsize,2011-02-26,2,26
4008,Arizona,0,Extended,Bachelor,Employed,0,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-02-14,2,14
4009,Arizona,0,Extended,Bachelor,Employed,0,Urban,Divorced,Personal Auto,3,4,Branch,Four-Door Car,Medsize,2011-01-29,1,29
4010,California,0,Basic,Bachelor,Employed,0,Urban,Married,Personal Auto,2,3,Web,Luxury,Medsize,2011-02-09,2,9
4011,Oregon,0,Basic,Bachelor,other,0,Suburban,Married,Corporate Auto,3,3,Branch,Sports Car,Medsize,2011-01-23,1,23
4012,Arizona,0,Premium,College,Unemployed,1,Suburban,Single,Personal Auto,2,1,Branch,Four-Door Car,Large,2011-01-12,1,12
4013,California,0,Extended,High School or Below,Employed,0,Suburban,Married,Personal Auto,3,4,Agent,Four-Door Car,Medsize,2011-02-22,2,22
4014,California,0,Basic,Bachelor,other,0,Suburban,Married,Personal Auto,1,3,Web,Sports Car,Medsize,2011-01-14,1,14
4015,Oregon,0,Extended,High School or Below,Employed,1,Suburban,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-02-16,2,16
4016,Oregon,1,Premium,High School or Below,Unemployed,0,Suburban,Married,Personal Auto,1,2,Web,SUV,Medsize,2011-01-26,1,26
4017,Oregon,0,Basic,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,3,2,Branch,SUV,Medsize,2011-01-11,1,11
4018,Nevada,0,Basic,College,Employed,1,Suburban,Married,Personal Auto,1,1,Agent,Sports Car,Medsize,2011-01-27,1,27
4019,Oregon,0,Basic,High School or Below,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-01-29,1,29
4020,Oregon,0,Extended,College,Employed,1,Urban,Married,Corporate Auto,2,1,Call Center,SUV,Large,2011-01-04,1,4
4021,California,0,Extended,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,1,1,Web,Four-Door Car,Small,2011-02-23,2,23
4022,Washington,0,Basic,Bachelor,Employed,0,Urban,Married,Corporate Auto,1,2,Branch,Two-Door Car,Medsize,2011-02-06,2,6
4023,Arizona,0,Basic,College,Unemployed,0,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-20,1,20
4024,Nevada,0,Basic,College,Employed,1,Suburban,Married,Corporate Auto,3,2,Web,Four-Door Car,Small,2011-02-16,2,16
4025,Washington,0,Basic,College,Employed,1,Suburban,Married,Personal Auto,3,2,Agent,SUV,Small,2011-02-03,2,3
4026,Nevada,0,Basic,Bachelor,Employed,0,Urban,Married,Personal Auto,3,3,Agent,Luxury,Medsize,2011-02-09,2,9
4027,Oregon,0,Basic,High School or Below,Unemployed,0,Suburban,Divorced,Personal Auto,3,1,Call Center,Luxury,Small,2011-01-20,1,20
4028,California,0,Basic,Master,Employed,1,Suburban,Single,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-05,1,5
4029,Arizona,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-01-10,1,10
4030,California,0,Basic,College,Unemployed,1,Suburban,Single,Personal Auto,1,3,Call Center,Four-Door Car,Medsize,2011-02-05,2,5
4031,California,0,Basic,High School or Below,Unemployed,0,Suburban,Single,Personal Auto,2,1,Web,Two-Door Car,Medsize,2011-01-14,1,14
4032,Washington,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,3,4,Web,Four-Door Car,Small,2011-02-22,2,22
4033,Nevada,0,Basic,College,other,0,Rural,Married,Personal Auto,3,1,Branch,Sports Car,Small,2011-01-19,1,19
4034,Washington,0,Extended,High School or Below,Unemployed,1,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-01-04,1,4
4035,Arizona,0,Basic,Bachelor,Unemployed,1,Suburban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Small,2011-01-06,1,6
4036,Oregon,0,Basic,High School or Below,Employed,1,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-23,2,23
4037,California,0,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,2,2,Web,Luxury,Large,2011-02-08,2,8
4038,Arizona,0,Basic,Master,Unemployed,1,Suburban,Married,Corporate Auto,2,4,Call Center,Four-Door Car,Small,2011-01-08,1,8
4039,California,0,Extended,Bachelor,Employed,1,Suburban,Divorced,Corporate Auto,3,1,Call Center,Four-Door Car,Medsize,2011-01-07,1,7
4040,Oregon,0,Basic,Bachelor,other,1,Rural,Married,Corporate Auto,3,1,Call Center,Two-Door Car,Medsize,2011-01-05,1,5
4041,Nevada,0,Extended,Bachelor,Employed,1,Rural,Married,Personal Auto,2,1,Branch,Four-Door Car,Large,2011-02-16,2,16
4042,Oregon,0,Basic,College,Unemployed,0,Suburban,Single,Special Auto,1,4,Web,SUV,Large,2011-01-22,1,22
4043,Oregon,0,Extended,Master,Employed,0,Suburban,Married,Corporate Auto,2,1,Branch,Four-Door Car,Medsize,2011-02-27,2,27
4044,California,0,Basic,Master,Employed,0,Urban,Single,Personal Auto,1,1,Call Center,Four-Door Car,Medsize,2011-01-01,1,1
4045,California,0,Basic,College,Unemployed,1,Suburban,Single,Personal Auto,2,2,Agent,Luxury,Medsize,2011-01-07,1,7
4046,Washington,0,Premium,High School or Below,Employed,0,Suburban,Single,Personal Auto,2,3,Agent,Four-Door Car,Medsize,2011-01-05,1,5
4047,Oregon,0,Basic,College,Unemployed,1,Suburban,Single,Special Auto,3,3,Web,Two-Door Car,Small,2011-01-27,1,27
4048,Oregon,0,Basic,High School or Below,Employed,0,Urban,Married,Personal Auto,3,2,Agent,Two-Door Car,Small,2011-02-10,2,10
4049,Nevada,0,Basic,Bachelor,Employed,0,Suburban,Married,Corporate Auto,2,4,Call Center,Two-Door Car,Large,2011-01-19,1,19
4050,Arizona,0,Basic,College,Employed,0,Rural,Married,Personal Auto,1,4,Call Center,Four-Door Car,Medsize,2011-01-19,1,19
4051,Oregon,1,Basic,Doctor,Employed,0,Suburban,Married,Special Auto,2,1,Agent,SUV,Large,2011-01-14,1,14
4052,California,1,Basic,High School or Below,Employed,1,Urban,Single,Personal Auto,2,1,Agent,SUV,Small,2011-02-03,2,3
4053,Arizona,0,Basic,Bachelor,Employed,1,Rural,Single,Personal Auto,3,2,Agent,Four-Door Car,Medsize,2011-01-05,1,5
4054,Oregon,0,Extended,High School or Below,Employed,1,Suburban,Single,Personal Auto,3,2,Web,SUV,Medsize,2011-01-14,1,14
4055,Arizona,0,Extended,High School or Below,other,1,Suburban,Married,Corporate Auto,3,2,Agent,Two-Door Car,Large,2011-02-10,2,10
4056,Oregon,0,Basic,High School or Below,Unemployed,0,Suburban,Married,Personal Auto,3,4,Web,SUV,Medsize,2011-02-22,2,22
4057,California,0,Premium,Master,Employed,1,Suburban,Married,Personal Auto,2,1,Agent,Two-Door Car,Small,2011-01-24,1,24
4058,California,1,Extended,College,Employed,1,Urban,Married,Corporate Auto,3,2,Branch,Four-Door Car,Medsize,2011-01-06,1,6
4059,Oregon,0,Basic,Doctor,Unemployed,0,Rural,Married,Personal Auto,2,2,Branch,Two-Door Car,Medsize,2011-02-15,2,15
4060,California,0,Extended,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,2,1,Call Center,Four-Door Car,Medsize,2011-01-18,1,18
4061,Oregon,0,Extended,Bachelor,Employed,0,Suburban,Married,Personal Auto,2,4,Agent,Two-Door Car,Medsize,2011-01-21,1,21
4062,Arizona,0,Basic,College,Unemployed,1,Suburban,Single,Personal Auto,1,2,Branch,SUV,Medsize,2011-02-08,2,8
4063,Washington,1,Basic,Bachelor,Employed,1,Urban,Married,Personal Auto,3,1,Branch,SUV,Medsize,2011-01-07,1,7
4064,Oregon,0,Extended,Bachelor,Employed,1,Suburban,Single,Personal Auto,2,2,Branch,Four-Door Car,Small,2011-02-14,2,14
4065,California,1,Extended,Bachelor,Employed,1,Suburban,Married,Personal Auto,3,2,Agent,SUV,Medsize,2011-02-17,2,17
4066,Oregon,0,Basic,Bachelor,Unemployed,0,Suburban,Divorced,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-01-17,1,17
4067,Oregon,0,Basic,Bachelor,Employed,1,Urban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-01,2,1
4068,California,0,Basic,High School or Below,Employed,1,Suburban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Small,2011-02-10,2,10
4069,Oregon,0,Extended,College,other,0,Suburban,Married,Personal Auto,3,3,Branch,Four-Door Car,Small,2011-01-31,1,31
4070,Nevada,0,Premium,Bachelor,Employed,0,Rural,Married,Corporate Auto,3,4,Web,SUV,Medsize,2011-02-26,2,26
4071,Oregon,1,Extended,High School or Below,Unemployed,0,Suburban,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-31,1,31
4072,California,0,Basic,College,other,0,Suburban,Married,Personal Auto,3,2,Web,SUV,Large,2011-01-22,1,22
4073,Oregon,1,Basic,College,Employed,0,Rural,Married,Personal Auto,1,1,Branch,Four-Door Car,Medsize,2011-01-28,1,28
4074,Arizona,0,Basic,High School or Below,Employed,1,Urban,Married,Personal Auto,1,1,Web,Sports Car,Medsize,2011-02-18,2,18
4075,Oregon,0,Basic,High School or Below,other,1,Rural,Married,Corporate Auto,3,3,Branch,Sports Car,Medsize,2011-02-16,2,16
4076,Oregon,0,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,2,3,Call Center,Four-Door Car,Medsize,2011-01-05,1,5
4077,California,0,Extended,High School or Below,Unemployed,0,Suburban,Single,Personal Auto,1,3,Web,Sports Car,Medsize,2011-02-19,2,19
4078,California,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Corporate Auto,2,1,Web,Luxury,Small,2011-01-07,1,7
4079,Oregon,1,Extended,Bachelor,Employed,1,Suburban,Divorced,Personal Auto,3,1,Agent,Luxury,Medsize,2011-02-10,2,10
4080,Oregon,0,Basic,High School or Below,Unemployed,0,Suburban,Married,Personal Auto,3,2,Agent,Four-Door Car,Medsize,2011-01-19,1,19
4081,Oregon,0,Premium,Bachelor,Employed,1,Urban,Married,Personal Auto,3,1,Agent,Sports Car,Medsize,2011-01-29,1,29
4082,Oregon,0,Basic,College,Employed,1,Suburban,Single,Corporate Auto,3,3,Branch,SUV,Large,2011-02-25,2,25
4083,California,0,Basic,Bachelor,Employed,1,Rural,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-01-01,1,1
4084,Oregon,0,Basic,College,Employed,0,Rural,Single,Personal Auto,1,2,Branch,Two-Door Car,Medsize,2011-02-09,2,9
4085,Arizona,1,Extended,College,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-08,1,8
4086,California,1,Premium,High School or Below,Employed,0,Suburban,Divorced,Corporate Auto,3,1,Agent,Luxury,Medsize,2011-02-08,2,8
4087,Oregon,1,Basic,Bachelor,Employed,0,Suburban,Single,Personal Auto,3,2,Call Center,Four-Door Car,Small,2011-02-06,2,6
4088,Washington,0,Extended,Bachelor,Unemployed,0,Suburban,Divorced,Personal Auto,1,3,Agent,Four-Door Car,Medsize,2011-02-07,2,7
4089,Oregon,0,Extended,Bachelor,Employed,1,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-01-09,1,9
4090,Arizona,1,Basic,College,other,1,Suburban,Single,Personal Auto,3,1,Web,Two-Door Car,Medsize,2011-02-01,2,1
4091,California,0,Basic,High School or Below,Employed,1,Rural,Single,Personal Auto,3,3,Branch,Four-Door Car,Medsize,2011-01-20,1,20
4092,California,0,Basic,Bachelor,Unemployed,0,Suburban,Divorced,Personal Auto,2,1,Branch,SUV,Large,2011-01-27,1,27
4093,Oregon,1,Basic,College,other,1,Suburban,Single,Personal Auto,1,1,Web,Two-Door Car,Medsize,2011-02-01,2,1
4094,Oregon,1,Basic,Master,other,0,Suburban,Divorced,Personal Auto,2,1,Call Center,Four-Door Car,Small,2011-01-31,1,31
4095,Arizona,0,Basic,Master,other,1,Suburban,Divorced,Corporate Auto,3,1,Agent,Two-Door Car,Medsize,2011-01-05,1,5
4096,Oregon,0,Basic,Bachelor,Employed,0,Rural,Divorced,Personal Auto,3,4,Web,Four-Door Car,Medsize,2011-02-01,2,1
4097,Washington,0,Premium,College,Employed,0,Rural,Married,Personal Auto,3,2,Call Center,Four-Door Car,Medsize,2011-02-12,2,12
4098,Oregon,0,Basic,High School or Below,Unemployed,0,Suburban,Divorced,Personal Auto,3,1,Branch,SUV,Small,2011-02-10,2,10
4099,California,0,Extended,College,other,0,Suburban,Married,Personal Auto,2,3,Web,SUV,Small,2011-02-20,2,20
